,Mean Sum Rewards,Mean Std Sum Rewards,Ms,alpha_thetas,alpha_ws
0,-357.84,178.32207117086395,10,0.1,0.01
1,-357.78,175.43887330539565,10,0.1,0.02
2,-366.84,163.6274052025923,10,0.3,0.01
3,-359.42333333333335,176.99048219858855,10,0.3,0.02
4,-344.6666666666667,175.53349791105086,15,0.1,0.01
5,-390.7133333333333,153.84138310466258,15,0.1,0.02
6,-443.28333333333336,133.48821317088468,15,0.3,0.01
7,-379.8833333333333,168.74925102714448,15,0.3,0.02
